gender,Age,quantity,payment_method,w,Arrival_Time,Start_Time,Finish_Time,Wait_Time,Queue_Length,Counter_Number,Day
Female,25,12,Cash,2021-01-01,11:01:00,11:01:00,11:08:00,0 days 00:00:00,0,1,Friday
Male,26,26,Cash,2021-01-01,11:02:00,11:02:00,11:11:00,0 days 00:00:00,0,2,Friday
Female,23,24,Cash,2021-01-01,11:04:00,11:04:00,11:10:00,0 days 00:00:00,0,3,Friday
Female,53,13,Cash,2021-01-01,11:06:00,11:08:00,11:15:00,0 days 00:02:00,1,1,Friday
Female,64,20,Cash,2021-01-01,11:08:00,11:10:20,11:20:00,0 days 00:02:00,1,3,Friday
Male,59,23,Credit Card,2021-01-01,11:08:00,11:11:00,11:18:00,0 days 00:04:00,1,2,Friday
Female,16,14,Credit Card,2021-01-01,11:08:00,11:15:00,11:20:00,0 days 00:07:00,2,1,Friday
Male,33,17,Cash,2021-01-01,11:11:00,11:20:00,11:28:00,0 days 00:08:00,2,2,Friday
Female,51,25,Debit Card,2021-01-01,11:11:00,11:20:00,11:28:00,0 days 00:09:00,2,1,Friday
Female,31,30,Debit Card,2021-01-01,11:14:00,11:20:00,11:27:00,0 days 00:06:00,1,3,Friday
Male,56,12,Cash,2021-01-01,11:19:00,11:27:00,11:34:00,0 days 00:08:00,2,3,Friday
Female,24,20,Credit Card,2021-01-01,11:19:00,11:28:00,11:33:00,0 days 00:09:00,1,2,Friday
Female,43,23,Credit Card,2021-01-01,11:19:00,11:28:00,11:35:00,0 days 00:09:00,2,1,Friday
Female,48,29,Credit Card,2021-01-01,11:20:00,11:33:00,11:40:00,0 days 00:13:00,2,2,Friday
Male,44,20,Credit Card,2021-01-01,11:21:00,11:34:00,11:39:00,0 days 00:13:00,2,3,Friday
Female,51,10,Cash,2021-01-01,11:22:00,11:35:00,11:38:00,0 days 00:13:00,2,1,Friday
Female,26,29,Debit Card,2021-01-01,11:23:00,11:38:00,11:39:00,0 days 00:15:00,3,1,Friday
Male,65,12,Credit Card,2021-01-01,11:23:00,11:39:00,11:39:00,0 days 00:16:00,3,3,Friday
Female,50,13,Cash,2021-01-01,11:26:00,11:40:00,11:44:00,0 days 00:14:00,3,2,Friday
Male,60,25,Credit Card,2021-01-01,11:26:00,11:39:00,11:46:00,0 days 00:13:00,4,1,Friday
Female,31,29,Debit Card,2021-01-01,11:29:00,11:39:00,11:47:00,0 days 00:10:00,3,3,Friday
Female,31,19,Debit Card,2021-01-01,11:32:00,11:44:00,11:49:00,0 days 00:12:00,3,2,Friday
Female,30,10,Credit Card,2021-01-01,11:33:00,11:46:00,11:50:00,0 days 00:13:00,4,1,Friday
Female,34,12,Debit Card,2021-01-01,11:33:00,11:47:00,11:51:00,0 days 00:13:00,4,3,Friday
Female,24,23,Cash,2021-01-01,11:34:00,11:49:00,11:54:00,0 days 00:15:00,3,2,Friday
Male,19,11,Cash,2021-01-01,11:34:00,11:50:00,11:53:00,0 days 00:16:00,5,1,Friday
Female,43,29,Cash,2021-01-01,11:38:00,11:51:00,11:57:00,0 days 00:13:00,4,3,Friday
Male,62,13,Cash,2021-01-01,11:40:00,11:53:00,11:58:00,0 days 00:13:00,3,1,Friday
Male,55,14,Debit Card,2021-01-01,11:40:00,11:54:00,12:00:00,0 days 00:14:00,3,2,Friday
Female,33,12,Credit Card,2021-01-01,11:40:00,11:57:00,12:05:00,0 days 00:17:00,3,3,Friday
Female,28,29,Cash,2021-01-01,11:41:00,11:58:00,12:07:00,0 days 00:17:00,4,1,Friday
Female,26,11,Cash,2021-01-01,11:41:00,12:00:00,12:05:00,0 days 00:19:00,4,2,Friday
Male,25,25,Cash,2021-01-01,11:44:00,12:05:00,12:11:00,0 days 00:19:00,4,3,Friday
Female,29,21,Cash,2021-01-01,11:44:00,12:05:00,12:10:00,0 days 00:19:00,5,2,Friday
Female,18,19,Cash,2021-01-01,11:48:00,12:07:00,12:12:00,0 days 00:19:00,4,1,Friday
Male,62,29,Cash,2021-01-01,11:49:00,12:10:00,12:18:00,0 days 00:21:00,5,2,Friday
Female,17,13,Credit Card,2021-01-01,11:49:00,12:11:00,12:16:00,0 days 00:22:00,4,3,Friday
Female,15,18,Credit Card,2021-01-01,11:50:00,12:12:00,12:17:00,0 days 00:22:00,5,1,Friday
